Game,Sources
Teeworlds,LinuxGSM
TerraTech Worlds,G-Portal
Terraria,"G-Portal, LinuxGSM, Nitrado"
The Forest,"G-Portal, Nitrado"
The Front,LinuxGSM
The Isle,"G-Portal, LinuxGSM, Nitrado"
The Lord of the Rings: Return to Moria,"G-Portal, Nitrado"
The Specialists,LinuxGSM
Tinkertown,G-Portal
Tower Unite,LinuxGSM
Unreal Tournament,LinuxGSM
Unreal Tournament 2004,LinuxGSM
Unreal Tournament 3,LinuxGSM
Unreal Tournament 99,LinuxGSM
Unturned,"G-Portal, LinuxGSM, Nitrado"
Urban Terror 4,OGP
V Rising,G-Portal
Valheim,"G-Portal, GameServers.com, LinuxGSM"
Vampire Slayer,LinuxGSM
Velocity Proxy,LinuxGSM
Vintage Story,"G-Portal, LinuxGSM"
Warfork,LinuxGSM
Warsow,OGP
WaterfallMC,LinuxGSM
Wolfenstein: Enemy Territory,LinuxGSM
World Titans War,G-Portal
Wreckfest,G-Portal
Wreckfest 2,G-Portal
Wurm Unlimited,LinuxGSM
Xonotic,LinuxGSM
Zombie Master: Reborn,LinuxGSM
Zombie Panic! Source,LinuxGSM
